,tp,v
435,time-27,V3-23*05
436,time-27,V3-23*05
437,time-27,V3-23*05
438,time-27,V3-23*05
439,time-27,V3-23*05
440,time-27,V3-23*05
441,time-27,V3-23*05
442,time-27,V3-23*05
443,time-27,V3-30*02
444,time-27,V3-30*02
445,time-27,V3-30*03
446,time-27,V3-30*10
447,time-27,V3-30*10
448,time-27,V3-30*18
449,time-27,V3-30*18
450,time-27,V3-30*18
451,time-27,V3-30*18
452,time-27,V3-30*18
453,time-27,V3-30*18
454,time-27,V3-30*18
455,time-27,V3-30*18
456,time-27,V3-30*18
457,time-27,V3-30*18
458,time-27,V3-30*18
459,time-27,V3-30*18
460,time-27,V3-30*18
461,time-27,V3-30*18
462,time-27,V3-30*18
463,time-27,V3-30*18
464,time-27,V3-30*18
465,time-27,V3-30*19
466,time-27,V3-30
467,time-27,V3-30
468,time-27,V3-30
469,time-27,V3-30-3*01
470,time-27,V3-30-3*01
471,time-27,V3-30-3*01
472,time-27,V3-30-3*01
473,time-27,V3-30-3*01
474,time-27,V3-30-3*01
475,time-27,V3-30-3*01
476,time-27,V3-30-3*01
477,time-27,V3-30-3*01
478,time-27,V3-33*01
479,time-27,V3-33*01
480,time-27,V3-33*01
481,time-27,V3-33*01
482,time-27,V3-33*01
483,time-27,V3-33*01
484,time-27,V3-33*01
485,time-27,V3-33*01
486,time-27,V3-33*01
487,time-27,V3-33*01
488,time-27,V3-33*01
489,time-27,V3-33*02
490,time-27,V3-33*02
491,time-27,V3-33*04
492,time-27,V3-33*05
493,time-27,V3-33*05
494,time-27,V3-33*06
495,time-27,V3-43*01
496,time-27,V3-43*01
497,time-27,V3-48*02
498,time-27,V3-48*02
499,time-27,V3-48*02
500,time-27,V3-48*02
501,time-27,V3-48*02
502,time-27,V3-48*02
503,time-27,V3-48*02
504,time-27,V3-48*02
505,time-27,V3-48*02
506,time-27,V3-48*02
507,time-27,V3-48*03
508,time-27,V3-48*03
509,time-27,V3-48*03
510,time-27,V3-48*03
511,time-27,V3-49*05
512,time-27,V3-49*05
513,time-27,V3-49*05
514,time-27,V3-53*01
515,time-27,V3-53*01
516,time-27,V3-53*01
517,time-27,V3-53*01
518,time-27,V3-53*01
519,time-27,V3-53*01
520,time-27,V3-53*01
521,time-27,V3-53*01
522,time-27,V3-53*01
523,time-27,V3-53*01
524,time-27,V3-53*01
525,time-27,V3-53*01
526,time-27,V3-53*01
527,time-27,V3-53*01
528,time-27,V3-53*01
529,time-27,V3-53*01
530,time-27,V3-53*01
531,time-27,V3-53*01
532,time-27,V3-53*01
533,time-27,V3-53*02
534,time-27,V3-53*03
535,time-27,V3-53*03
536,time-27,V3-7*01
537,time-27,V3-7*01
538,time-27,V3-7*01
539,time-27,V3-7*01
540,time-27,V3-7*01
541,time-27,V3-7*01
542,time-27,V3-7*01
543,time-27,V3-7*01
544,time-27,V3-7*01
545,time-27,V3-7*01
546,time-27,V3-73*01
547,time-27,V3-73*01
548,time-27,V3-73*02
549,time-27,V3-74*01
550,time-27,V3-74*01
551,time-27,V3-74*03
552,time-27,V3-74*03
553,time-27,V3-74*03
554,time-27,V3-74*03
555,time-27,V3-9*01
556,time-27,V3-9*01
557,time-27,V3-9*01
558,time-27,V3-9*01
559,time-27,V3-9*01
560,time-27,V3-9*01
561,time-27,V3-9*01
562,time-27,V3-9*01
563,time-27,V3-9*01
564,time-27,V3-9*01
565,time-27,V3-9*01
566,time-27,V3-9*01
567,time-27,V3-9*01
568,time-27,V3-9*01
569,time-27,V3-9*01
570,time-27,V3-9*01
571,time-27,V3-9*01
572,time-27,V3-9*01
573,time-27,V3-9*01
574,time-27,V3-9*01
575,time-27,V3-9*01
576,time-27,V3-9*01
577,time-27,V3-9*01
578,time-27,V3-9*01
579,time-27,V3-9*01
580,time-27,V3-9*01
581,time-27,V3-9*01
582,time-27,V3-9*01
583,time-27,V3-9*01
584,time-27,V3-9*01
585,time-27,V3-9*01
586,time-27,V3-9*01
587,time-27,V3-9*01
588,time-27,V3-9*01
589,time-27,V3-9*01
590,time-27,V3-9*01
591,time-27,V3-9*01
592,time-27,V3-9*01
593,time-27,V3-9*01
